vacc_date,Bundesland,viert_praxen
2021-10-13,Bayern,NA
2021-10-13,Brandenburg,NA
2021-10-13,Niedersachsen,NA
2021-10-13,Thüringen,NA
2021-10-14,Bayern,NA
2021-10-14,Niedersachsen,NA
2021-10-14,Nordrhein-Westfalen,NA
2021-10-15,Bayern,NA
2021-10-15,Schleswig-Holstein,NA
2021-10-16,Bayern,NA
2021-10-16,Thüringen,NA
2021-10-17,Bayern,NA
2021-10-18,Bayern,NA
2021-10-18,Bremen,NA
2021-10-18,Niedersachsen,NA
2021-10-19,Bayern,NA
2021-10-20,Baden-Württemberg,NA
2021-10-20,Bayern,NA
2021-10-20,Niedersachsen,NA
2021-10-21,Bayern,NA
2021-10-21,Thüringen,NA
2021-10-22,Bayern,NA
2021-10-22,Hessen,NA
2021-10-23,Bayern,NA
2021-10-23,Hessen,NA
2021-10-24,Bayern,NA
2021-10-25,Bayern,NA
2021-10-26,Bayern,NA
2021-10-26,Brandenburg,NA
2021-10-26,Nordrhein-Westfalen,NA
2021-10-26,Saarland,NA
2021-10-27,Bayern,NA
2021-10-27,Niedersachsen,NA
2021-10-28,Bayern,NA
2021-10-28,Berlin,NA
2021-10-28,Saarland,NA
2021-10-28,Schleswig-Holstein,NA
2021-10-29,Bayern,NA
2021-10-29,Brandenburg,NA
2021-10-29,Niedersachsen,NA
2021-10-29,Thüringen,NA
2021-10-30,Baden-Württemberg,NA
2021-10-30,Bayern,NA
2021-10-31,Bayern,NA
2021-11-01,Bayern,NA
2021-11-01,Brandenburg,NA
2021-11-02,Bayern,NA
2021-11-02,Thüringen,NA
2021-11-03,Bayern,NA
2021-11-04,Bayern,NA
2021-11-04,Hamburg,NA
2021-11-05,Baden-Württemberg,NA
2021-11-05,Bayern,NA
2021-11-05,Nordrhein-Westfalen,NA
2021-11-05,Sachsen,NA
2021-11-06,Bayern,NA
2021-11-06,Sachsen-Anhalt,NA
2021-11-06,Thüringen,NA
2021-11-07,Bayern,NA
2021-11-07,Rheinland-Pfalz,NA
2021-11-08,Bayern,NA
2021-11-08,Hessen,NA
2021-11-09,Bayern,NA
2021-11-09,Niedersachsen,NA
2021-11-09,Sachsen,NA
2021-11-09,Thüringen,NA
2021-11-10,Baden-Württemberg,NA
2021-11-10,Bayern,NA
2021-11-10,Hessen,NA
2021-11-10,Niedersachsen,NA
2021-11-10,Thüringen,NA
2021-11-11,Baden-Württemberg,NA
2021-11-11,Bayern,NA
2021-11-11,Berlin,NA
2021-11-11,Brandenburg,NA
2021-11-11,Niedersachsen,NA
2021-11-11,Nordrhein-Westfalen,NA
2021-11-11,Sachsen,NA
2021-11-11,Schleswig-Holstein,NA
2021-11-11,Thüringen,NA
2021-11-12,Baden-Württemberg,NA
2021-11-12,Bayern,NA
2021-11-13,Bayern,NA
2021-11-13,Hessen,NA
2021-11-13,Niedersachsen,NA
2021-11-13,Thüringen,NA
2021-11-14,Bayern,NA
2021-11-14,Hessen,NA
2021-11-15,Bayern,NA
2021-11-15,Berlin,NA
2021-11-15,Nordrhein-Westfalen,NA
2021-11-15,Sachsen,NA
2021-11-16,Baden-Württemberg,NA
2021-11-16,Bayern,NA
2021-11-16,Nordrhein-Westfalen,NA
2021-11-16,Thüringen,NA
2021-11-17,Bayern,NA
2021-11-17,Thüringen,NA
2021-11-18,Baden-Württemberg,NA
2021-11-18,Bayern,NA
2021-11-18,Mecklenburg-Vorpommern,NA
2021-11-18,Niedersachsen,NA
2021-11-18,Rheinland-Pfalz,NA
2021-11-18,Sachsen,NA
2021-11-19,Baden-Württemberg,NA
2021-11-19,Bayern,NA
2021-11-19,Hessen,NA
2021-11-19,Nordrhein-Westfalen,NA
2021-11-19,Sachsen,NA
