Bundesland,date,dritte_alle
Nordrhein-Westfalen,2021-07-17,5
Saarland,2021-07-17,1
Nordrhein-Westfalen,2021-07-18,5
Schleswig-Holstein,2021-07-19,1
Nordrhein-Westfalen,2021-07-19,8
Rheinland-Pfalz,2021-07-19,1
Baden-Württemberg,2021-07-19,1
Niedersachsen,2021-07-20,14
Nordrhein-Westfalen,2021-07-20,7
Hessen,2021-07-20,1
Baden-Württemberg,2021-07-20,4
Nordrhein-Westfalen,2021-07-21,1
Baden-Württemberg,2021-07-21,1
Bayern,2021-07-21,2
Nordrhein-Westfalen,2021-07-22,16
Rheinland-Pfalz,2021-07-22,1
Bayern,2021-07-22,1
Nordrhein-Westfalen,2021-07-23,16
Rheinland-Pfalz,2021-07-23,3
Baden-Württemberg,2021-07-23,2
Nordrhein-Westfalen,2021-07-24,19
Hessen,2021-07-24,1
Rheinland-Pfalz,2021-07-24,1
Baden-Württemberg,2021-07-24,1
Nordrhein-Westfalen,2021-07-25,5
Hessen,2021-07-25,1
Nordrhein-Westfalen,2021-07-26,14
Hessen,2021-07-26,2
Thüringen,2021-07-26,1
Nordrhein-Westfalen,2021-07-27,49
Baden-Württemberg,2021-07-27,1
Niedersachsen,2021-07-28,2
Nordrhein-Westfalen,2021-07-28,120
Hessen,2021-07-28,3
Rheinland-Pfalz,2021-07-28,2
Baden-Württemberg,2021-07-28,2
Nordrhein-Westfalen,2021-07-29,119
Hessen,2021-07-29,1
Baden-Württemberg,2021-07-29,1
Bayern,2021-07-29,2
Saarland,2021-07-29,3
Nordrhein-Westfalen,2021-07-30,180
Baden-Württemberg,2021-07-30,4
Bayern,2021-07-30,1
Niedersachsen,2021-07-31,3
Nordrhein-Westfalen,2021-07-31,177
Hessen,2021-07-31,1
Baden-Württemberg,2021-07-31,3
Nordrhein-Westfalen,2021-08-01,170
Bayern,2021-08-01,1
Nordrhein-Westfalen,2021-08-02,150
Rheinland-Pfalz,2021-08-02,1
Bayern,2021-08-02,1
Hamburg,2021-08-03,1
Niedersachsen,2021-08-03,1
Nordrhein-Westfalen,2021-08-03,171
Hessen,2021-08-03,4
Rheinland-Pfalz,2021-08-03,10
Bayern,2021-08-03,40
Mecklenburg-Vorpommern,2021-08-03,1
Niedersachsen,2021-08-04,2
Nordrhein-Westfalen,2021-08-04,221
Hessen,2021-08-04,2
Rheinland-Pfalz,2021-08-04,3
Baden-Württemberg,2021-08-04,4
Bayern,2021-08-04,31
Nordrhein-Westfalen,2021-08-05,209
Hessen,2021-08-05,2
Rheinland-Pfalz,2021-08-05,3
Baden-Württemberg,2021-08-05,4
Berlin,2021-08-05,1
Schleswig-Holstein,2021-08-06,1
Hamburg,2021-08-06,1
Nordrhein-Westfalen,2021-08-06,237
Hessen,2021-08-06,4
Rheinland-Pfalz,2021-08-06,2
Bayern,2021-08-06,6
Mecklenburg-Vorpommern,2021-08-06,4
Nordrhein-Westfalen,2021-08-07,164
Rheinland-Pfalz,2021-08-07,6
Baden-Württemberg,2021-08-07,7
Nordrhein-Westfalen,2021-08-08,139
Hessen,2021-08-08,2
Baden-Württemberg,2021-08-08,1
Hamburg,2021-08-09,1
Nordrhein-Westfalen,2021-08-09,285
Hessen,2021-08-09,2
Rheinland-Pfalz,2021-08-09,1
Baden-Württemberg,2021-08-09,1
Nordrhein-Westfalen,2021-08-10,201
Hessen,2021-08-10,1
Rheinland-Pfalz,2021-08-10,1
Niedersachsen,2021-08-11,1
Nordrhein-Westfalen,2021-08-11,297
Hessen,2021-08-11,7
Rheinland-Pfalz,2021-08-11,10
Baden-Württemberg,2021-08-11,3
Bayern,2021-08-11,2
Sachsen,2021-08-11,2
Niedersachsen,2021-08-12,1
Nordrhein-Westfalen,2021-08-12,260
Hessen,2021-08-12,4
Rheinland-Pfalz,2021-08-12,1
Baden-Württemberg,2021-08-12,2
Bayern,2021-08-12,3
Brandenburg,2021-08-12,84
Niedersachsen,2021-08-13,11
Bremen,2021-08-13,1
Nordrhein-Westfalen,2021-08-13,323
Hessen,2021-08-13,5
Rheinland-Pfalz,2021-08-13,4
Baden-Württemberg,2021-08-13,1
Bayern,2021-08-13,3
Brandenburg,2021-08-13,45
Mecklenburg-Vorpommern,2021-08-13,5
Schleswig-Holstein,2021-08-14,5
Niedersachsen,2021-08-14,2
Nordrhein-Westfalen,2021-08-14,260
Rheinland-Pfalz,2021-08-14,3
Baden-Württemberg,2021-08-14,1
Mecklenburg-Vorpommern,2021-08-14,1
Nordrhein-Westfalen,2021-08-15,179
Hessen,2021-08-15,2
Rheinland-Pfalz,2021-08-15,1
Baden-Württemberg,2021-08-15,1
Niedersachsen,2021-08-16,1
Bremen,2021-08-16,1
Nordrhein-Westfalen,2021-08-16,219
Hessen,2021-08-16,9
Rheinland-Pfalz,2021-08-16,1
Baden-Württemberg,2021-08-16,1
Bayern,2021-08-16,2
Mecklenburg-Vorpommern,2021-08-16,1
Niedersachsen,2021-08-17,5
Nordrhein-Westfalen,2021-08-17,219
Hessen,2021-08-17,2
Rheinland-Pfalz,2021-08-17,3
Baden-Württemberg,2021-08-17,8
Bayern,2021-08-17,6
Brandenburg,2021-08-17,2
Hamburg,2021-08-18,4
Niedersachsen,2021-08-18,3
Nordrhein-Westfalen,2021-08-18,277
Hessen,2021-08-18,7
Rheinland-Pfalz,2021-08-18,7
Baden-Württemberg,2021-08-18,12
Bayern,2021-08-18,1
Brandenburg,2021-08-18,1
Mecklenburg-Vorpommern,2021-08-18,2
Sachsen,2021-08-18,1
Hamburg,2021-08-19,2
Niedersachsen,2021-08-19,4
Bremen,2021-08-19,2
Nordrhein-Westfalen,2021-08-19,258
Hessen,2021-08-19,7
Rheinland-Pfalz,2021-08-19,2
Baden-Württemberg,2021-08-19,19
Bayern,2021-08-19,2
Brandenburg,2021-08-19,39
Mecklenburg-Vorpommern,2021-08-19,35
Sachsen,2021-08-19,3
Niedersachsen,2021-08-20,3
Nordrhein-Westfalen,2021-08-20,415
Hessen,2021-08-20,11
Rheinland-Pfalz,2021-08-20,3
Baden-Württemberg,2021-08-20,10
Bayern,2021-08-20,3
Sachsen-Anhalt,2021-08-20,2
Thüringen,2021-08-20,1
Nordrhein-Westfalen,2021-08-21,351
Hessen,2021-08-21,1
Rheinland-Pfalz,2021-08-21,1
Baden-Württemberg,2021-08-21,6
Schleswig-Holstein,2021-08-22,3
Bremen,2021-08-22,1
Nordrhein-Westfalen,2021-08-22,261
Hessen,2021-08-22,70
Baden-Württemberg,2021-08-22,17
Bayern,2021-08-22,1
Schleswig-Holstein,2021-08-23,1
Niedersachsen,2021-08-23,1
Nordrhein-Westfalen,2021-08-23,303
Hessen,2021-08-23,13
Rheinland-Pfalz,2021-08-23,4
Baden-Württemberg,2021-08-23,9
Bayern,2021-08-23,6
Thüringen,2021-08-23,2
Hamburg,2021-08-24,6
Niedersachsen,2021-08-24,5
Nordrhein-Westfalen,2021-08-24,407
Hessen,2021-08-24,6
Rheinland-Pfalz,2021-08-24,2
Baden-Württemberg,2021-08-24,20
Bayern,2021-08-24,31
Sachsen,2021-08-24,4
Schleswig-Holstein,2021-08-25,50
Hamburg,2021-08-25,6
Niedersachsen,2021-08-25,2
Nordrhein-Westfalen,2021-08-25,369
Hessen,2021-08-25,11
Rheinland-Pfalz,2021-08-25,2
Baden-Württemberg,2021-08-25,83
Bayern,2021-08-25,5
Brandenburg,2021-08-25,5
Mecklenburg-Vorpommern,2021-08-25,2
Thüringen,2021-08-25,1
Schleswig-Holstein,2021-08-26,56
Niedersachsen,2021-08-26,5
Bremen,2021-08-26,2
Nordrhein-Westfalen,2021-08-26,386
Hessen,2021-08-26,10
Rheinland-Pfalz,2021-08-26,3
Baden-Württemberg,2021-08-26,88
Bayern,2021-08-26,37
Berlin,2021-08-26,1
Brandenburg,2021-08-26,10
Sachsen-Anhalt,2021-08-26,3
Thüringen,2021-08-26,2
NA,2021-08-26,2
Schleswig-Holstein,2021-08-27,493
Hamburg,2021-08-27,6
Niedersachsen,2021-08-27,11
Nordrhein-Westfalen,2021-08-27,445
Hessen,2021-08-27,39
Rheinland-Pfalz,2021-08-27,12
Baden-Württemberg,2021-08-27,168
Bayern,2021-08-27,43
Saarland,2021-08-27,1
Berlin,2021-08-27,5
Brandenburg,2021-08-27,2
Sachsen-Anhalt,2021-08-27,1
Schleswig-Holstein,2021-08-28,306
Hamburg,2021-08-28,1
Niedersachsen,2021-08-28,2
Nordrhein-Westfalen,2021-08-28,355
Hessen,2021-08-28,24
Rheinland-Pfalz,2021-08-28,6
Baden-Württemberg,2021-08-28,103
Bayern,2021-08-28,10
Brandenburg,2021-08-28,5
Sachsen-Anhalt,2021-08-28,1
Thüringen,2021-08-28,3
Schleswig-Holstein,2021-08-29,324
Nordrhein-Westfalen,2021-08-29,296
Hessen,2021-08-29,27
Baden-Württemberg,2021-08-29,126
Sachsen,2021-08-29,1
Schleswig-Holstein,2021-08-30,40
Hamburg,2021-08-30,99
Niedersachsen,2021-08-30,65
Bremen,2021-08-30,3
Nordrhein-Westfalen,2021-08-30,906
Hessen,2021-08-30,152
Rheinland-Pfalz,2021-08-30,28
Baden-Württemberg,2021-08-30,229
Bayern,2021-08-30,373
Saarland,2021-08-30,2
Berlin,2021-08-30,33
Brandenburg,2021-08-30,33
Mecklenburg-Vorpommern,2021-08-30,7
Sachsen,2021-08-30,14
Sachsen-Anhalt,2021-08-30,165
