id,EW_insgesamt,EW80,todesfaelle80,todesfaellegesamt
9675,91155,5716,3,6
9676,128743,8534,18,25
9677,126158,8980,13,21
9678,115445,7783,24,38
9679,162302,10292,18,25
9761,296582,18761,36,59
9762,44398,3298,10,16
9763,69151,5029,11,15
9764,44100,3120,4,5
9771,134655,8346,23,29
9772,253468,16199,15,25
9773,96562,5987,25,42
9774,127027,7556,18,26
9775,175204,11180,21,29
9776,81981,6143,8,11
9777,141182,9256,32,48
9778,145341,9692,29,40
9779,133783,8342,26,35
9780,156008,11269,10,14
10041,328714,23565,81,132
10042,103243,7229,18,22
10043,131408,10135,10,13
10044,194319,14476,21,33
10045,142196,11398,15,23
10046,87007,6658,16,25
12051,72184,7060,0,2
12052,99678,8707,11,15
12053,57751,4999,2,3
12054,180334,11987,37,51
12060,185244,14029,25,49
12061,170791,13819,6,10
12062,101827,9518,6,8
12063,162996,11863,5,10
12064,195751,15126,16,23
12065,212914,16072,5,12
12066,109371,10725,6,9
12067,178803,15695,10,13
12068,98861,8106,0,0
12069,216566,15638,31,42
12070,76158,7128,3,3
12071,113720,10277,12,19
12072,169997,12509,8,14
12073,118947,10759,8,11
13003,209191,17456,4,6
13004,95653,8308,2,4
13071,258074,21216,7,10
13072,215794,15905,4,6
13073,224702,18907,5,8
13074,157322,11512,2,4
13075,235623,18897,5,13
13076,211779,15445,1,4
14511,246334,22989,9,16
14521,334948,30421,104,163
14522,304099,28047,8,13
14523,225997,22408,40,62
14524,315002,30533,70,96
14612,556780,43071,30,44
14625,299758,27718,50,68
14626,252725,25312,67,87
14627,241717,22807,52,69
14628,245586,22751,29,37
14713,593145,41932,12,18
14729,258139,22213,12,17
14730,197741,16579,11,20
15001,80103,8717,2,4
15002,238762,19297,13,18
15003,237565,19496,8,12
15081,83173,6497,4,5
15082,158486,14375,4,5
15083,170923,12311,14,15
15084,178846,16573,11,15
15085,213310,19226,3,9
15086,89589,7444,8,9
15087,134942,12941,1,3
15088,183815,14512,7,12
15089,189125,17239,3,4
15090,111190,9099,5,9
15091,124953,11746,5,9
16051,213981,15362,18,20
16052,93125,8999,17,27
16053,111343,8160,4,6
16054,36789,3710,0,2
16055,65228,4969,0,1
16056,42250,3758,5,5
16061,100006,7309,13,19
