Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glätung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
2020-11-14T00:00:00Z,16551,16125,17035,17711,17266,18127,1.04,1.03,1.06,1.05,1.04,1.06
2020-11-15T00:00:00Z,16696,16126,17203,17370,16895,17821,0.98,0.97,1,1.06,1.05,1.07
2020-11-16T00:00:00Z,20550,19738,21303,18070,17518,18600,0.99,0.97,1.01,1.05,1.03,1.06
2020-11-17T00:00:00Z,19628,18918,20291,18356,17727,18958,1.01,0.98,1.03,1.04,1.03,1.05
2020-11-18T00:00:00Z,18808,17895,19641,18921,18169,19610,1.07,1.04,1.09,1.03,1.01,1.04
2020-11-19T00:00:00Z,17512,16529,18397,19125,18270,19908,1.1,1.08,1.12,1,0.99,1.01
2020-11-20T00:00:00Z,16840,16071,17791,18197,17353,19030,1.01,0.98,1.03,0.98,0.96,0.99
2020-11-21T00:00:00Z,14627,13592,15638,16947,16022,17867,0.92,0.89,0.95,0.96,0.94,0.97
2020-11-22T00:00:00Z,14972,13900,16023,15988,15023,16962,0.85,0.81,0.88,0.94,0.92,0.96
2020-11-23T00:00:00Z,18517,16786,20081,16239,15087,17383,0.85,0.81,0.88,0.94,0.91,0.97
2020-11-24T00:00:00Z,17773,15808,19870,16472,15021,17903,0.91,0.85,0.95,0.94,0.91,0.97
2020-11-25T00:00:00Z,17079,14930,19200,17085,15356,18793,1.01,0.95,1.07,0.94,0.91,0.98
2020-11-26T00:00:00Z,16062,13068,18955,17358,15148,19526,1.09,1.03,1.15,0.95,0.91,0.99
2020-11-27T00:00:00Z,15985,13110,19101,16725,14229,19281,1.03,0.95,1.14,0.97,0.92,1.02
2020-11-28T00:00:00Z,15098,11376,18853,16056,13121,19027,0.98,0.89,1.07,0.99,0.94,1.06
2020-11-29T00:00:00Z,16198,10898,20752,15836,12113,19415,0.93,0.82,1.05,1.04,0.93,1.15
2020-11-30T00:00:00Z,22436,14305,32403,17429,12422,22777,1,0.83,1.17,NA,NA,NA
