"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
9662;"Schweinfurt, Stadt";"krsfr. Stadt";23,8;1497;51,1;17,7;12,4;34,2;15,6;68,5
9663;"Würzburg, Stadt";"krsfr. Stadt";20;1446;52,3;11,2;2,2;34,1;8;76,9
9671;"Aschaffenburg";"Landkreis";21,1;249;50,3;9,1;1;24,8;11,5;80,3
9672;"Bad Kissingen";"Landkreis";24,1;91;50,8;5,3;1;29,3;11,4;78,1
9673;"Rhön-Grabfeld";"Landkreis";21,7;78;50,2;4,6;0,8;30,4;10,4;77,7
9674;"Haßberge";"Landkreis";20,4;88;49,8;4,5;0,9;28,1;12,9;80,2
9675;"Kitzingen";"Landkreis";20,4;132;49,7;8,6;1;28,8;10,9;78,6
9676;"Miltenberg";"Landkreis";21;180;50,2;10,8;1;25,6;11,3;78,6
9677;"Main-Spessart";"Landkreis";22,5;96;50,1;6,6;0,8;24,5;10,4;80,3
9678;"Schweinfurt";"Landkreis";21,4;137;49,9;5,5;0,7;26,2;12;81,1
9679;"Würzburg";"Landkreis";20,9;167;50,3;6;0,8;26,8;9,1;83,3
9761;"Augsburg, Stadt";"krsfr. Stadt";19,5;1994;50,9;21;3,3;36,6;13,6;71,8
9762;"Kaufbeuren, Stadt";"krsfr. Stadt";22,9;1086;50,8;14,7;1,7;31,9;14;71,2
9763;"Kempten (Allgäu), Stadt";"krsfr. Stadt";22,2;1080;50,6;15,9;1,6;31,8;13,4;71,5
9764;"Memmingen, Stadt";"krsfr. Stadt";21,6;620;50,6;17,8;1,7;27,3;15,3;72,7
9771;"Aichach-Friedberg";"Landkreis";19,6;170;50,1;8;0,9;18,3;14,3;80,4
9772;"Augsburg";"Landkreis";20,3;233;50,4;9,2;1;19,6;13,8;78,5
9773;"Dillingen a.d.Donau";"Landkreis";19,9;120;49,9;8,9;1,6;24,5;16,6;75,1
9774;"Günzburg";"Landkreis";19,2;163;49,5;12,4;1,1;25,4;16;73,9
9775;"Neu-Ulm";"Landkreis";20,1;334;50,4;14,1;1,1;24,9;14,2;76
9776;"Lindau (Bodensee)";"Landkreis";22,5;251;50,8;12,9;1,1;27,3;9;77,7
9777;"Ostallgäu";"Landkreis";21;100;50,2;8,4;1;26,8;11,5;79,3
9778;"Unterallgäu";"Landkreis";21;116;49,7;8,8;0,9;24,3;15,3;77,5
9779;"Donau-Ries";"Landkreis";19,6;104;49,2;9,2;1,3;24,2;13,2;78,1
9780;"Oberallgäu";"Landkreis";22,5;101;50,7;8,4;0,9;27,9;10,3;79,6
10041;"Regionalverband Saarbrücken";"Landkreis";22,7;803;50,9;13,9;;36,2;10;73,1
10042;"Merzig-Wadern";"Landkreis";22,2;186;50,6;11,1;;31,8;9,3;76,6
10043;"Neunkirchen";"Landkreis";24,1;534;50,9;9,2;;33,6;10,9;73,5
10044;"Saarlouis";"Landkreis";23,6;426;51;9,8;13,1;31,5;10,1;75,8
10045;"Saarpfalz-Kreis";"Landkreis";24,6;343;51,3;8,8;;31,5;11,3;77,2
10046;"St. Wendel";"Landkreis";24;185;50,5;5,1;;25,9;8,3;79,9
