"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
5334;"Städteregion Aachen";"Landkreis";20,2;784;49,6;14;2,5;34,3;7,4;76,4
5358;"Düren";"Landkreis";21,1;279;50,4;10,3;2,1;29,9;9,6;75,2
5362;"Rhein-Erft-Kreis";"Landkreis";21,3;663;51,1;12,1;1,8;27,1;9,6;76,5
5366;"Euskirchen";"Landkreis";21,3;154;50,7;7,5;1,6;27,9;9,9;74,4
5370;"Heinsberg";"Landkreis";20,6;403;50,5;11,3;1,8;29,3;8,7;74,1
5374;"Oberbergischer Kreis";"Landkreis";21,1;297;50,8;9,3;1,9;27,7;10,6;74,4
5378;"Rheinisch-Bergischer Kreis";"Landkreis";23,1;648;51,5;9,2;2;22,4;8;79,4
5382;"Rhein-Sieg-Kreis";"Landkreis";21,1;519;51;10;1,8;25,2;9,4;78,5
5512;"Bottrop, Stadt";"krsfr. Stadt";22,1;1167;51,3;10,7;2,3;33,8;12,5;74,5
5513;"Gelsenkirchen, Stadt";"krsfr. Stadt";20,6;2481;50,2;19,1;2,8;39,2;17;67,4
5515;"Münster, Stadt";"krsfr. Stadt";16,9;1034;52;10,3;2,6;35,5;4,9;81,8
5554;"Borken";"Landkreis";18,7;260;50,1;8,9;1,7;26,6;6,1;77,6
5558;"Coesfeld";"Landkreis";20,4;197;50,6;6,1;1,7;24,6;6,2;80,6
5562;"Recklinghausen";"Landkreis";22,5;810;51,2;10,7;2,4;33,4;12,3;73,4
5566;"Steinfurt";"Landkreis";19,6;249;50,2;8,8;2,2;27,9;6,5;77,4
5570;"Warendorf";"Landkreis";20,9;210;50,6;9,8;1,8;26,5;7,4;77,4
5711;"Bielefeld, Stadt";"krsfr. Stadt";19,9;1285;51,8;14,1;4,4;36,4;9;74,8
5754;"Gütersloh";"Landkreis";19,3;375;50;12,4;2,2;24;8,7;75
5758;"Herford";"Landkreis";21,9;558;50,9;9;2;28,8;10,9;73,1
5762;"Höxter";"Landkreis";22,3;118;50,2;5,4;1,7;31,7;8,9;75,9
5766;"Lippe";"Landkreis";22,3;280;50,9;8,3;2,1;31,9;10,8;74,5
5770;"Minden-Lübbecke";"Landkreis";21,8;270;50,7;7,6;2,7;29,9;10,6;73,1
5774;"Paderborn";"Landkreis";17,8;245;50;8,9;2,3;31,4;9,9;74,4
5911;"Bochum, Stadt";"krsfr. Stadt";22;2509;51,3;12,3;3;37,2;10,5;74,7
5913;"Dortmund, Stadt";"krsfr. Stadt";20,4;2090;50,9;17;2,9;37,1;10,3;71,7
5914;"Hagen, Stadt";"krsfr. Stadt";22,5;1170;51,3;17,4;2,8;35,7;12,8;70,1
5915;"Hamm, Stadt";"krsfr. Stadt";20,7;791;50,9;14,6;2;35,4;11,1;71,7
5916;"Herne, Stadt";"krsfr. Stadt";21,8;3043;51;16,3;2,9;38,3;13,9;69,5
5954;"Ennepe-Ruhr-Kreis";"Landkreis";23,5;793;51,5;10;2,4;29;9,8;75,9
5958;"Hochsauerlandkreis";"Landkreis";21,8;133;50,1;8,5;2,2;26,5;8;75,4
5962;"Märkischer Kreis";"Landkreis";21,9;390;50,8;12,8;1,9;26,4;11,3;71,4
5966;"Olpe";"Landkreis";19,9;189;49,9;9,1;2,1;22,3;7,7;75,9
5970;"Siegen-Wittgenstein";"Landkreis";21,3;245;50,3;10,3;2,5;27,6;10,7;75,6
5974;"Soest";"Landkreis";21;227;50,3;9,2;1,9;28,4;9,3;74,5
5978;"Unna";"Landkreis";22,6;725;51,3;9,5;2,8;31,4;10,3;74,5
6411;"Darmstadt, Stadt";"krsfr. Stadt";17,3;1296;49,1;19,3;2,3;32,8;8,4;77,9
6412;"Frankfurt am Main, Stadt";"krsfr. Stadt";15,7;3008;50,6;29;2,1;34,4;8,6;74,1
6413;"Offenbach am Main, Stadt";"krsfr. Stadt";16,7;2822;50,6;35;1,6;35;12;66,4
6414;"Wiesbaden, Stadt";"krsfr. Stadt";19,9;1366;52,2;18,8;2,9;30,2;11,2;73
6431;"Bergstraße";"Landkreis";22;374;50,6;12,9;2,5;26,1;12,9;77,7
6432;"Darmstadt-Dieburg";"Landkreis";20,6;449;50,3;14;2;23,8;11,1;78,6
6433;"Groß-Gerau";"Landkreis";19,3;599;50,1;21,5;2,3;26,3;12,2;75,1
6434;"Hochtaunuskreis";"Landkreis";22,5;490;51,5;15,8;2,1;13,6;10,2;81,3
6435;"Main-Kinzig-Kreis";"Landkreis";21,3;299;50,7;15,1;2,4;26;14,7;75,5
6436;"Main-Taunus-Kreis";"Landkreis";21,2;1066;51,1;15,9;2,1;15,6;10,6;80,4
6437;"Odenwaldkreis";"Landkreis";23,3;155;50,6;13,2;0,9;28;13,1;75,3
6438;"Offenbach";"Landkreis";21,1;987;50,8;18,6;2,3;22;11,9;77,4
6439;"Rheingau-Taunus-Kreis";"Landkreis";22,7;230;50,8;11,8;2,3;22,6;11,6;79,5
6440;"Wetteraukreis";"Landkreis";20,9;277;50,5;12,3;2;24,6;12,3;77,1
6531;"Gießen";"Landkreis";19,2;312;50,8;11,6;3,8;31,9;12,1;76
6532;"Lahn-Dill-Kreis";"Landkreis";21,9;238;50,7;10,5;2,4;28,3;13,9;72,5
6533;"Limburg-Weilburg";"Landkreis";21,2;233;50,3;11,2;2,4;29,6;12,7;75,1
6534;"Marburg-Biedenkopf";"Landkreis";19,4;195;50,8;11,1;2,2;30,8;11,5;76,8
6535;"Vogelsbergkreis";"Landkreis";24;73;49,9;6,9;1,9;29,2;14,1;74,3
6611;"Kassel, Stadt";"krsfr. Stadt";19,5;1880;51;17,5;5,3;38;9,9;72
6631;"Fulda";"Landkreis";20,9;161;50,3;8,5;2,1;28,5;16,2;75,8
6632;"Hersfeld-Rotenburg";"Landkreis";23,8;110;50;9;1,8;30,7;14,7;74,9
6633;"Kassel";"Landkreis";24,7;183;50,9;6,9;;27,6;11,3;77,4
6634;"Schwalm-Eder-Kreis";"Landkreis";23;117;49,9;7;2;28,6;12,9;76,6
6635;"Waldeck-Frankenberg";"Landkreis";23;85;50,1;8,1;2,4;29,4;12,4;73,9
6636;"Werra-Meißner-Kreis";"Landkreis";25,4;99;50,6;7;2,1;31,6;11,2;74
7111;"Koblenz, Stadt";"krsfr. Stadt";21,6;1082;51,4;12,7;3,1;34,8;8,4;74,5
7131;"Ahrweiler";"Landkreis";24,3;164;50,9;9,1;2,2;27,7;8,8;78,5
7132;"Altenkirchen (Westerwald)";"Landkreis";22;200;50,5;7,2;1,6;29,6;10,9;74,6
7133;"Bad Kreuznach";"Landkreis";23;182;51,2;9,8;1,9;27,8;11,6;75,8
7134;"Birkenfeld";"Landkreis";24,1;104;50,4;7,7;1,7;31;12;72,5
7135;"Cochem-Zell";"Landkreis";24;89;49,9;7;1,6;27,8;8,5;77,3
7137;"Mayen-Koblenz";"Landkreis";21,6;261;50,6;7,6;2,1;28,1;10,1;75,9
7138;"Neuwied";"Landkreis";22,1;290;50,8;9,1;2;28,9;10,6;75
7140;"Rhein-Hunsrück-Kreis";"Landkreis";22,3;104;50,2;7,4;1,5;26,8;9,8;77,2
7141;"Rhein-Lahn-Kreis";"Landkreis";23,1;156;50,5;8,3;1,8;28,3;10,9;76,8
7143;"Westerwaldkreis";"Landkreis";20,9;203;50,3;8,5;1,4;25,2;10,8;76,9
7211;"Trier, Stadt";"krsfr. Stadt";17,7;940;50,8;13,1;3,9;35,6;7,8;74,2
7231;"Bernkastel-Wittlich";"Landkreis";22,5;96;50,1;9,4;1,6;30,2;8,4;77,1
7232;"Eifelkreis Bitburg-Prüm";"Landkreis";20,5;60;49,8;12,1;1,2;31,5;7,4;75,1
7233;"Vulkaneifel";"Landkreis";23,9;67;49,8;7,1;1,3;29,6;8,2;76,9
7235;"Trier-Saarburg";"Landkreis";20,3;135;50,5;10,1;1,2;29,8;8,1;80,3
7311;"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";22,9;1103;51,7;16,3;1,9;31,3;16,5;72,5
7312;"Kaiserslautern, Stadt";"krsfr. Stadt";20,2;714;49,5;15,5;2,6;35,2;13,7;70,3
7313;"Landau in der Pfalz, Stadt";"krsfr. Stadt";19;558;52,7;9,9;2,3;28,8;10;76,9
7314;"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";19,1;2176;50,2;25;2,7;35;16,3;69
7315;"Mainz, Stadt";"krsfr. Stadt";17,5;2201;51,4;17,9;2,4;36;7,3;80,2
7316;"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";24;456;51,3;10,6;2;29,4;12;77,8
7317;"Pirmasens, Stadt";"krsfr. Stadt";25,2;662;51;11,2;3,2;35,5;16,1;67,1
7318;"Speyer, Stadt";"krsfr. Stadt";22,1;1192;51,4;14,9;2,4;33;13,5;75,4
7319;"Worms, Stadt";"krsfr. Stadt";20,3;764;50,8;16,5;2,3;33,6;15;72,3
7320;"Zweibrücken, Stadt";"krsfr. Stadt";23;485;50,6;9,7;2,2;34,4;14,5;70,5
7331;"Alzey-Worms";"Landkreis";19,6;219;50,1;9,1;1,7;24,4;13,8;79,7
7332;"Bad Dürkheim";"Landkreis";23,9;223;51,1;8,3;1,6;23,7;12,4;80,3
7333;"Donnersbergkreis";"Landkreis";21,3;116;50,4;7,4;1,5;27,4;13,7;75,1
7334;"Germersheim";"Landkreis";19,5;277;50,1;11,9;1,5;24,1;16,3;77,5
7335;"Kaiserslautern";"Landkreis";21,4;165;50,8;8;1,5;28,2;14;75,8
7336;"Kusel";"Landkreis";23,5;123;50,3;6;1,7;27,2;14;75,8
7337;"Südliche Weinstraße";"Landkreis";22,7;173;50,7;7,2;1,2;25,3;12,2;79,8
7338;"Rhein-Pfalz-Kreis";"Landkreis";22,5;504;50,7;9,9;1,6;20,3;13,8;80,9
7339;"Mainz-Bingen";"Landkreis";20,4;347;50,7;9,6;1,7;19,9;9,8;81,9
7340;"Südwestpfalz";"Landkreis";24,7;100;50,6;4;1;27,3;12,9;79,1
8111;"Stuttgart, Stadt";"krsfr. Stadt";17,9;3052;50;24,6;2,3;30,5;8,8;79,1
8115;"Böblingen";"Landkreis";19,8;631;50,3;18;1,7;20;11,7;79,5
8116;"Esslingen";"Landkreis";20,4;830;50,1;16,9;1,9;19,6;11,7;80,1
8117;"Göppingen";"Landkreis";21,4;399;50,2;15,9;1,9;22,9;14,7;76,2
8118;"Ludwigsburg";"Landkreis";19,7;790;50,4;17,5;1,8;20,7;11,9;79,9
8119;"Rems-Murr-Kreis";"Landkreis";20,9;495;50,5;15,6;1,8;20,6;13,7;78,7
8121;"Heilbronn, Stadt";"krsfr. Stadt";19,5;1253;49,6;24,6;2,8;31,9;16,4;72
8125;"Heilbronn";"Landkreis";19,1;310;49,8;13,9;1,5;21,9;15,7;78,5
8126;"Hohenlohekreis";"Landkreis";19,2;143;49,5;10,4;1,4;22,1;14,8;76,4
8127;"Schwäbisch Hall";"Landkreis";19;131;49,8;10,6;1,4;25,1;14,5;74,5
8128;"Main-Tauber-Kreis";"Landkreis";22,2;101;50,2;8,7;1,5;24,8;13,6;77,6
8135;"Heidenheim";"Landkreis";21,8;210;50,2;14,6;1,8;24,7;13,3;74,9
8136;"Ostalbkreis";"Landkreis";20,4;207;50,2;10,5;1,1;24,6;12,3;76,5
8211;"Baden-Baden, Stadt";"krsfr. Stadt";26,2;390;52;18,8;3,1;26,1;10,7;74,9
8212;"Karlsruhe, Stadt";"krsfr. Stadt";18,3;1799;48,8;18,5;1,8;35,1;10,4;77
8215;"Karlsruhe";"Landkreis";20,9;408;50,2;12,8;1,5;24,2;13,6;78,8
8216;"Rastatt";"Landkreis";21,3;312;50,4;13,3;1,8;25,5;13,2;75,3
8221;"Heidelberg, Stadt";"krsfr. Stadt";16,2;1475;51,9;20,6;1,7;33,2;7,8;81,2
8222;"Mannheim, Stadt";"krsfr. Stadt";18,5;2125;50,1;23,3;1;37,1;12,8;72,3
8225;"Neckar-Odenwald-Kreis";"Landkreis";21,3;127;49,8;9,5;1,5;27,5;14,1;75,4
8226;"Rhein-Neckar-Kreis";"Landkreis";21,3;515;50,8;12,3;1,7;25;12,8;79,3
8231;"Pforzheim, Stadt";"Landkreis";20,3;1267;50,9;25,3;4;31;19,3;68,4
8235;"Calw";"Landkreis";20,5;197;49,8;14,6;1,6;23,8;15,2;77,2
8236;"Enzkreis";"Landkreis";20,9;346;50,4;12,8;1,5;19,4;14,9;79,5
8237;"Freudenstadt";"Landkreis";20,4;135;50,1;11,3;1,7;24,4;14,7;75,8
8311;"Freiburg im Breisgau, Stadt";"krsfr. Stadt";16,3;1500;52,3;17,1;2,3;38,4;7,2;80,4
8315;"Breisgau-Hochschwarzwald";"Landkreis";21,5;190;50,7;11,6;1,9;24,9;9,3;80
8316;"Emmendingen";"Landkreis";20,6;242;50,6;10;1,8;24,2;10;78,7
8317;"Ortenaukreis";"Landkreis";20,6;229;50,2;11;1,7;25,1;12;74,4
8325;"Rottweil";"Landkreis";20,9;180;50;11;1,9;23,6;13,8;75,9
8326;"Schwarzwald-Baar-Kreis";"Landkreis";22,1;206;50,3;14,7;1,3;26,2;12,8;74,6
8327;"Tuttlingen";"Landkreis";19,4;190;49,8;15,7;1,7;24;14,1;74,7
8335;"Konstanz";"Landkreis";20,7;347;51,2;14,6;1,9;28,7;10,3;76,7
8336;"Lörrach";"Landkreis";20,1;283;51;14,6;1,7;27,7;10,9;74,6
8337;"Waldshut";"Landkreis";20,9;150;50,4;15;1,6;25;10,5;73,9
8415;"Reutlingen";"Landkreis";20,3;262;50,4;15,3;1,9;24,1;12,9;78,1
8416;"Tübingen";"Landkreis";17;435;51,3;13,3;1,9;28,4;8,8;82
8417;"Zollernalbkreis";"Landkreis";21,9;205;50,4;12,1;0,7;22,5;14,6;74,3
8421;"Ulm, Stadt";"krsfr. Stadt";18,4;1058;50,4;19,3;2,6;31,1;10,2;77,5
8425;"Alb-Donau-Kreis";"Landkreis";19,1;143;49,4;12,6;1,6;21;12,5;79,8
8426;"Biberach";"Landkreis";18,4;141;49,6;10;1,7;22,2;12,6;78,1
8435;"Bodenseekreis";"Landkreis";22,4;323;50,7;12,9;1,8;23,7;10,3;79,2
8436;"Ravensburg";"Landkreis";19,5;174;50,2;10,7;1,7;25,9;10,4;77,4
8437;"Sigmaringen";"Landkreis";20,1;108;49,9;10,3;1,7;26,8;12,9;75,6
9161;"Ingolstadt, Stadt";"krsfr. Stadt";18,5;1014;49,5;17,6;2,1;29,4;15,3;70,9
9162;"München, Stadt";"krsfr. Stadt";17,8;4686;51,3;25,5;2,3;32,3;8,4;78,2
9163;"Rosenheim, Stadt";"krsfr. Stadt";20,1;1695;50,7;20,5;2;28,9;14,7;73,7
9171;"Altötting";"Landkreis";21,7;194;50,6;10,8;1,7;26;13,6;74,3
9172;"Berchtesgadener Land";"Landkreis";23,6;125;50,9;15,7;1,2;30,1;13,1;75,3
9173;"Bad Tölz-Wolfratshausen";"Landkreis";21,2;114;50,7;12,2;1,7;21;11,9;79,3
9174;"Dachau";"Landkreis";18,3;264;49,9;15,4;1,2;17,9;12,3;81,1
9175;"Ebersberg";"Landkreis";18,7;256;50,1;12,9;1;12,9;10,3;83,7
9176;"Eichstätt";"Landkreis";17,4;108;49,2;8,9;1,5;19,8;14,7;81,7
9177;"Erding";"Landkreis";16,7;157;49,5;11,1;1;18;13,5;80,4
9178;"Freising";"Landkreis";15,7;223;49;16,8;1,3;20,1;12,3;80,2
