Bundesland,KW,Jahr,JahrKW,anzahl_moderna_auffr_praxen,anzahl_moderna_auffr_alleorte
Sachsen-Anhalt,52,2021,202152,7941,22743
Schleswig-Holstein,1,2022,202201,40732,94312
Schleswig-Holstein,2,2022,202202,47210,98832
Schleswig-Holstein,3,2022,202203,31528,67429
Schleswig-Holstein,4,2022,202204,18650,39173
Schleswig-Holstein,5,2022,202205,9902,20599
Schleswig-Holstein,6,2022,202206,9079,15643
Schleswig-Holstein,7,2022,202207,7788,13246
Schleswig-Holstein,8,2022,202208,8741,14348
Schleswig-Holstein,9,2022,202209,10276,17590
Schleswig-Holstein,10,2022,202210,10940,17609
Schleswig-Holstein,11,2022,202211,9184,16614
Schleswig-Holstein,12,2022,202212,11088,17243
Schleswig-Holstein,13,2022,202213,7356,13388
Schleswig-Holstein,14,2022,202214,5391,9224
Schleswig-Holstein,15,2022,202215,3621,5300
Schleswig-Holstein,16,2022,202216,0,2621
Schleswig-Holstein,17,2022,202217,0,1516
Schleswig-Holstein,18,2022,202218,9771,10301
Schleswig-Holstein,22,2021,202122,0,3
Schleswig-Holstein,23,2021,202123,0,2
Schleswig-Holstein,24,2021,202124,0,1
Schleswig-Holstein,25,2021,202125,0,1
Schleswig-Holstein,26,2021,202126,0,4
Schleswig-Holstein,27,2021,202127,0,4
Schleswig-Holstein,28,2021,202128,0,3
Schleswig-Holstein,29,2021,202129,0,3
Schleswig-Holstein,30,2021,202130,0,4
Schleswig-Holstein,31,2021,202131,0,1
Schleswig-Holstein,32,2021,202132,0,9
Schleswig-Holstein,33,2021,202133,0,5
Schleswig-Holstein,34,2021,202134,0,237
Schleswig-Holstein,35,2021,202135,2,330
Schleswig-Holstein,36,2021,202136,0,642
Schleswig-Holstein,37,2021,202137,42,933
Schleswig-Holstein,38,2021,202138,2,1086
Schleswig-Holstein,39,2021,202139,12,77
Schleswig-Holstein,40,2021,202140,134,299
Schleswig-Holstein,41,2021,202141,167,277
Schleswig-Holstein,42,2021,202142,532,787
Schleswig-Holstein,43,2021,202143,754,1486
Schleswig-Holstein,44,2021,202144,1138,2153
Schleswig-Holstein,45,2021,202145,1505,3388
Schleswig-Holstein,46,2021,202146,2450,4735
Schleswig-Holstein,47,2021,202147,4555,12991
Schleswig-Holstein,48,2021,202148,40414,81424
Schleswig-Holstein,49,2021,202149,62874,121375
Schleswig-Holstein,50,2021,202150,66395,124273
Schleswig-Holstein,51,2021,202151,26113,62275
Schleswig-Holstein,52,2021,202152,19115,56842
Thüringen,1,2022,202201,16481,44988
Thüringen,2,2022,202202,18120,38472
Thüringen,3,2022,202203,13337,23245
Thüringen,4,2022,202204,7980,14632
Thüringen,5,2022,202205,4445,8487
Thüringen,6,2022,202206,2839,6207
Thüringen,7,2022,202207,981,2297
Thüringen,8,2022,202208,1131,1925
Thüringen,9,2022,202209,861,1550
Thüringen,10,2022,202210,677,1431
Thüringen,11,2022,202211,570,1359
Thüringen,12,2022,202212,454,1200
Thüringen,13,2022,202213,431,940
Thüringen,14,2022,202214,431,1022
Thüringen,15,2022,202215,229,482
Thüringen,16,2022,202216,89,439
Thüringen,17,2022,202217,329,599
Thüringen,18,2022,202218,127,188
Thüringen,25,2021,202125,0,1
Thüringen,26,2021,202126,0,2
Thüringen,28,2021,202128,0,1
Thüringen,29,2021,202129,0,1
Thüringen,30,2021,202130,0,1
Thüringen,31,2021,202131,0,2
Thüringen,33,2021,202133,0,1
Thüringen,35,2021,202135,0,112
Thüringen,36,2021,202136,4,113
Thüringen,37,2021,202137,0,483
Thüringen,38,2021,202138,0,94
Thüringen,39,2021,202139,0,116
Thüringen,40,2021,202140,23,110
Thüringen,41,2021,202141,127,543
Thüringen,42,2021,202142,37,70
Thüringen,43,2021,202143,110,153
Thüringen,44,2021,202144,133,214
Thüringen,45,2021,202145,354,467
Thüringen,46,2021,202146,574,705
Thüringen,47,2021,202147,1153,3182
Thüringen,48,2021,202148,10015,34022
Thüringen,49,2021,202149,18149,53209
Thüringen,50,2021,202150,18731,56962
Thüringen,51,2021,202151,11575,36152
Thüringen,52,2021,202152,5886,22070
unbekannt,1,2022,202201,572,0
unbekannt,2,2022,202202,1217,0
unbekannt,3,2022,202203,1020,0
unbekannt,4,2022,202204,779,0
unbekannt,5,2022,202205,288,0
unbekannt,6,2022,202206,168,0
unbekannt,7,2022,202207,81,0
unbekannt,8,2022,202208,130,0
unbekannt,9,2022,202209,103,0
unbekannt,10,2022,202210,73,0
unbekannt,11,2022,202211,69,0
unbekannt,12,2022,202212,120,0
unbekannt,13,2022,202213,126,0
unbekannt,14,2022,202214,126,0
unbekannt,15,2022,202215,15,0
unbekannt,16,2022,202216,6,0
unbekannt,17,2022,202217,39,0
unbekannt,18,2022,202218,97,0
unbekannt,37,2021,202137,4,0
unbekannt,43,2021,202143,163,0
unbekannt,47,2021,202147,186,0
unbekannt,48,2021,202148,1156,0
unbekannt,49,2021,202149,2791,0
unbekannt,50,2021,202150,2699,0
unbekannt,51,2021,202151,3355,0
unbekannt,52,2021,202152,1010,0
