"";"Kreis";"AG_rki";"ges";"m";"w"
"164";3251;2;19867;10253;9614
"165";3251;3;45489;23888;21601
"166";3251;4;77329;38672;38657
"167";3251;5;49078;23896;25182
"168";3251;6;15411;6061;9350
"169";3252;1;6537;3323;3214
"170";3252;2;12879;6546;6333
"171";3252;3;29863;15392;14471
"172";3252;4;50422;24918;25504
"173";3252;5;36036;16946;19090
"174";3252;6;12812;4755;8057
"175";3254;1;11886;6111;5775
"176";3254;2;23307;11941;11366
"177";3254;3;62084;31597;30487
"178";3254;4;94392;47061;47331
"179";3254;5;62952;29862;33090
"180";3254;6;21196;7975;13221
"181";3255;1;2885;1477;1408
"182";3255;2;5720;2935;2785
"183";3255;3;14423;7739;6684
"184";3255;4;23397;11727;11670
"185";3255;5;17712;8556;9156
"186";3255;6;6321;2477;3844
"187";3256;1;5522;2732;2790
"188";3256;2;11210;5629;5581
"189";3256;3;26066;13866;12200
"190";3256;4;42260;21392;20868
"191";3256;5;27497;13384;14113
"192";3256;6;8835;3296;5539
"193";3257;1;6759;3432;3327
"194";3257;2;13367;6809;6558
"195";3257;3;32027;16681;15346
"196";3257;4;55314;27669;27645
"197";3257;5;37519;17951;19568
"198";3257;6;12834;4724;8110
"199";3351;1;8469;4360;4109
"200";3351;2;16919;8629;8290
"201";3351;3;38066;19793;18273
"202";3351;4;60811;30363;30448
"203";3351;5;41817;20009;21808
"204";3351;6;12929;4947;7982
"205";3352;1;8580;4453;4127
"206";3352;2;17614;9153;8461
"207";3352;3;38789;20100;18689
"208";3352;4;67815;33317;34498
"209";3352;5;50096;24013;26083
"210";3352;6;15144;5831;9313
"211";3353;1;12188;6384;5804
"212";3353;2;24198;12406;11792
"213";3353;3;50774;26947;23827
"214";3353;4;93315;45738;47577
"215";3353;5;56616;26922;29694
"216";3353;6;17340;6976;10364
"217";3354;1;1875;951;924
"218";3354;2;4029;2126;1903
"219";3354;3;8803;4681;4122
"220";3354;4;16179;7970;8209
"221";3354;5;13310;6421;6889
"222";3354;6;4216;1634;2582
"223";3355;1;8614;4423;4191
"224";3355;2;17395;8879;8516
"225";3355;3;43029;21866;21163
"226";3355;4;65858;32247;33611
"227";3355;5;38028;18152;19876
"228";3355;6;11215;4236;6979
"229";3356;1;5327;2723;2604
"230";3356;2;10442;5407;5035
"231";3356;3;21931;11423;10508
"232";3356;4;41192;20267;20925
"233";3356;5;27174;12978;14196
"234";3356;6;7862;3128;4734
"235";3357;1;7510;3868;3642
"236";3357;2;14971;7725;7246
"237";3357;3;36921;19807;17114
"238";3357;4;57882;29140;28742
"239";3357;5;36020;17658;18362
"240";3357;6;10478;4119;6359
"241";3358;1;6503;3381;3122
"242";3358;2;12957;6765;6192
"243";3358;3;31331;16933;14398
"244";3358;4;48329;24094;24235
"245";3358;5;31388;15146;16242
"246";3358;6;10165;3932;6233
"247";3359;1;10179;5345;4834
"248";3359;2;19478;10114;9364
"249";3359;3;45521;23818;21703
"250";3359;4;71739;36054;35685
