"";"Kreis";"AG_rki";"ges";"m";"w"
"816";6611;6;12624;4544;8080
"817";6631;1;10592;5455;5137
"818";6631;2;20365;10395;9970
"819";6631;3;53110;27803;25307
"820";6631;4;76332;38402;37930
"821";6631;5;46775;22575;24200
"822";6631;6;15971;6152;9819
"823";6632;1;5449;2831;2618
"824";6632;2;10675;5544;5131
"825";6632;3;25236;13502;11734
"826";6632;4;41164;20947;20217
"827";6632;5;28793;13973;14820
"828";6632;6;9402;3715;5687
"829";6633;1;10405;5334;5071
"830";6633;2;20321;10483;9838
"831";6633;3;46759;24405;22354
"832";6633;4;82439;40798;41641
"833";6633;5;58642;28040;30602
"834";6633;6;18198;7093;11105
"835";6634;1;7576;3902;3674
"836";6634;2;15557;7967;7590
"837";6634;3;37162;19955;17207
"838";6634;4;63472;32267;31205
"839";6634;5;42614;20745;21869
"840";6634;6;13292;5105;8187
"841";6635;1;6908;3565;3343
"842";6635;2;13893;7145;6748
"843";6635;3;32741;17667;15074
"844";6635;4;54415;27244;27171
"845";6635;5;36598;17715;18883
"846";6635;6;11851;4565;7286
"847";6636;1;4111;2193;1918
"848";6636;2;8098;4101;3997
"849";6636;3;20740;11143;9597
"850";6636;4;33890;16927;16963
"851";6636;5;25453;12305;13148
"852";6636;6;8337;3187;5150
"853";7111;1;5130;2636;2494
"854";7111;2;8989;4629;4360
"855";7111;3;32464;16648;15816
"856";7111;4;35749;18057;17692
"857";7111;5;23252;10704;12548
"858";7111;6;8468;3080;5388
"859";7131;1;5798;3022;2776
"860";7131;2;10837;5518;5319
"861";7131;3;26935;14142;12793
"862";7131;4;44436;22000;22436
"863";7131;5;31564;15180;16384
"864";7131;6;10516;4171;6345
"865";7132;1;6001;3113;2888
"866";7132;2;11641;5982;5659
"867";7132;3;27736;14577;13159
"868";7132;4;44824;22534;22290
"869";7132;5;29524;14247;15277
"870";7132;6;9079;3429;5650
"871";7133;1;7229;3656;3573
"872";7133;2;14089;7268;6821
"873";7133;3;32994;17038;15956
"874";7133;4;54791;26999;27792
"875";7133;5;37843;18010;19833
"876";7133;6;11399;4416;6983
"877";7134;1;3729;1897;1832
"878";7134;2;6726;3452;3274
"879";7134;3;17175;9177;7998
"880";7134;4;27042;13541;13501
"881";7134;5;19767;9538;10229
"882";7134;6;6512;2506;4006
"883";7135;1;2513;1288;1225
"884";7135;2;4956;2600;2356
"885";7135;3;12567;6747;5820
"886";7135;4;21348;10787;10561
"887";7135;5;15088;7491;7597
"888";7135;6;4903;1847;3056
"889";7137;1;10199;5203;4996
"890";7137;2;18868;9613;9255
"891";7137;3;46501;24273;22228
"892";7137;4;75345;37513;37832
"893";7137;5;48773;23534;25239
"894";7137;6;14748;5753;8995
"895";7138;1;8889;4558;4331
"896";7138;2;16733;8600;8133
"897";7138;3;39588;20641;18947
"898";7138;4;63025;31222;31803
"899";7138;5;41593;20034;21559
"900";7138;6;12983;5049;7934
"901";7140;1;4690;2463;2227
"902";7140;2;8890;4576;4314
"903";7140;3;21581;11461;10120
"904";7140;4;36204;17997;18207
"905";7140;5;24426;12038;12388
"906";7140;6;7372;2844;4528
"907";7141;1;5468;2760;2708
"908";7141;2;10643;5407;5236
"909";7141;3;24989;13065;11924
"910";7141;4;42962;21521;21441
"911";7141;5;29428;14177;15251
"912";7141;6;8807;3587;5220
"913";7143;1;9457;4902;4555
"914";7143;2;18406;9429;8977
"915";7143;3;43602;22745;20857
"916";7143;4;72465;36426;36039
"917";7143;5;44546;21582;22964
"918";7143;6;13428;5155;8273
"919";7211;1;4840;2552;2288
"920";7211;2;8595;4539;4056
"921";7211;3;36102;18357;17745
"922";7211;4;35637;18193;17444
"923";7211;5;19704;9116;10588
"924";7211;6;6650;2296;4354
"925";7231;1;5174;2667;2507
"926";7231;2;9804;5012;4792
"927";7231;3;23370;12337;11033
"928";7231;4;39607;20131;19476
"929";7231;5;26137;12905;13232
"930";7231;6;8391;3271;5120
"931";7232;1;4933;2545;2388
"932";7232;2;8993;4705;4288
"933";7232;3;21951;11557;10394
"934";7232;4;35140;17883;17257
"935";7232;5;21520;10728;10792
"936";7232;6;6521;2451;4070
"937";7233;1;2463;1276;1187
"938";7233;2;5050;2595;2455
"939";7233;3;12518;6726;5792
"940";7233;4;20657;10321;10336
"941";7233;5;15242;7592;7650
"942";7233;6;4716;1931;2785
"943";7235;1;6954;3538;3416
"944";7235;2;14213;7247;6966
"945";7235;3;30824;15947;14877
"946";7235;4;54912;27459;27453
"947";7235;5;32636;15991;16645
"948";7235;6;9859;3696;6163
"949";7311;1;2519;1294;1225
"950";7311;2;4429;2313;2116
"951";7311;3;11090;5694;5396
"952";7311;4;16291;8180;8111
"953";7311;5;10601;4756;5845
"954";7311;6;3832;1466;2366
"955";7312;1;4670;2365;2305
"956";7312;2;7796;4045;3751
"957";7312;3;29899;16954;12945
"958";7312;4;30804;15414;15390
"959";7312;5;20531;9365;11166
"960";7312;6;6330;2360;3970
"961";7313;1;2105;1118;987
"962";7313;2;3766;1891;1875
"963";7313;3;13831;6421;7410
"964";7313;4;15072;7510;7562
"965";7313;5;9196;4299;4897
"966";7313;6;2911;1035;1876
"967";7314;1;9643;4923;4720
"968";7314;2;17079;8809;8270
"969";7314;3;43845;23113;20732
"970";7314;4;59153;30587;28566
"971";7314;5;31893;14975;16918
"972";7314;6;10640;4079;6561
"973";7315;1;10097;5172;4925
"974";7315;2;17192;9039;8153
"975";7315;3;70862;34508;36354
"976";7315;4;70469;35531;34938
"977";7315;5;37713;17423;20290
"978";7315;6;12245;4714;7531
"979";7316;1;2506;1272;1234
"980";7316;2;4536;2328;2208
"981";7316;3;11301;5927;5374
"982";7316;4;17749;8804;8945
"983";7316;5;12731;5965;6766
"984";7316;6;4441;1729;2712
"985";7317;1;1780;921;859
"986";7317;2;3333;1752;1581
"987";7317;3;8780;4595;4185
"988";7317;4;12895;6445;6450
"989";7317;5;9876;4676;5200
"990";7317;6;3567;1296;2271
"991";7318;1;2287;1209;1078
"992";7318;2;4402;2285;2117
"993";7318;3;11123;5730;5393
"994";7318;4;17506;8631;8875
"995";7318;5;11557;5258;6299
"996";7318;6;3686;1342;2344
"997";7319;1;4350;2202;2148
"998";7319;2;7795;4015;3780
"999";7319;3;20419;10717;9702
"1000";7319;4;28059;14206;13853
"1001";7319;5;17553;8116;9437
"1002";7319;6;5366;1982;3384
"1003";7320;1;1488;762;726
"1004";7320;2;2905;1461;1444
"1005";7320;3;8059;4368;3691
"1006";7320;4;11206;5668;5538
"1007";7320;5;7953;3688;4265
"1008";7320;6;2582;996;1586
"1009";7331;1;6377;3161;3216
"1010";7331;2;12002;6167;5835
"1011";7331;3;27697;14509;13188
"1012";7331;4;46962;23434;23528
"1013";7331;5;29226;14318;14908
"1014";7331;6;7423;2893;4530
"1015";7332;1;5764;2896;2868
"1016";7332;2;11214;5849;5365
"1017";7332;3;25367;13158;12209
"1018";7332;4;47334;23228;24106
"1019";7332;5;33254;15842;17412
"1020";7332;6;9738;3898;5840
"1021";7333;1;3431;1737;1694
"1022";7333;2;6796;3455;3341
"1023";7333;3;15613;8168;7445
"1024";7333;4;26755;13302;13453
"1025";7333;5;17753;8763;8990
"1026";7333;6;4977;1906;3071
"1027";7334;1;6326;3276;3050
"1028";7334;2;11939;6183;5756
"1029";7334;3;28709;14923;13786
"1030";7334;4;46533;23460;23073
"1031";7334;5;27704;13427;14277
"1032";7334;6;7802;3008;4794
"1033";7335;1;5769;2936;2833
"1034";7335;2;9816;5069;4747
"1035";7335;3;22174;11431;10743
"1036";7335;4;36607;18002;18605
"1037";7335;5;24471;11918;12553
"1038";7335;6;7142;2722;4420
"1039";7336;1;3155;1638;1517
"1040";7336;2;5820;2946;2874
"1041";7336;3;14025;7363;6662
"1042";7336;4;24154;12087;12067
"1043";7336;5;17783;8762;9021
"1044";7336;6;5282;2078;3204
"1045";7337;1;4865;2512;2353
"1046";7337;2;9513;4917;4596
"1047";7337;3;21816;11280;10536
"1048";7337;4;39712;19656;20056
"1049";7337;5;26807;12971;13836
"1050";7337;6;7808;3083;4725
"1051";7338;1;7761;4086;3675
"1052";7338;2;13941;7199;6742
"1053";7338;3;30850;15999;14851
"1054";7338;4;55430;27508;27922
"1055";7338;5;35507;16959;18548
"1056";7338;6;11120;4573;6547
"1057";7339;1;10153;5270;4883
"1058";7339;2;20329;10499;9830
"1059";7339;3;42927;22203;20724
"1060";7339;4;78098;38470;39628
"1061";7339;5;47047;22716;24331
"1062";7339;6;12863;5119;7744
"1063";7340;1;3752;1926;1826
"1064";7340;2;7337;3682;3655
"1065";7340;3;18194;9567;8627
"1066";7340;4;33279;16490;16789
"1067";7340;5;24344;11912;12432
"1068";7340;6;7925;3176;4749
"1069";8111;1;30277;15545;14732
"1070";8111;2;52401;26812;25589
"1071";8111;3;186375;96158;90217
"1072";8111;4;220342;113723;106619
"1073";8111;5;108142;50719;57423
"1074";8111;6;38374;14837;23537
"1075";8115;1;21121;10758;10363
"1076";8115;2;37809;19432;18377
"1077";8115;3;91621;47847;43774
"1078";8115;4;138865;70089;68776
"1079";8115;5;78526;37177;41349
"1080";8115;6;24865;10194;14671
"1081";8116;1;25938;13312;12626
"1082";8116;2;48869;25093;23776
"1083";8116;3;127142;67520;59622
"1084";8116;4;189650;96343;93307
"1085";8116;5;107941;50834;57107
"1086";8116;6;35484;14232;21252
"1087";8117;1;12631;6449;6182
"1088";8117;2;23688;12013;11675
"1089";8117;3;58557;31071;27486
"1090";8117;4;89872;45605;44267
"1091";8117;5;55376;26310;29066
"1092";8117;6;18021;7201;10820
"1093";8118;1;28421;14619;13802
"1094";8118;2;51737;26439;25298
"1095";8118;3;127555;66440;61115
"1096";8118;4;194679;98599;96080
"1097";8118;5;108528;50960;57568
"1098";8118;6;34503;13742;20761
"1099";8119;1;21042;10824;10218
"1100";8119;2;39459;20226;19233
"1101";8119;3;96852;50462;46390
"1102";8119;4;151312;75957;75355
"1103";8119;5;89421;42315;47106
"1104";8119;6;29162;11611;17551
"1105";8121;1;6615;3376;3239
"1106";8121;2;11897;6146;5751
"1107";8121;3;33848;18347;15501
"1108";8121;4;42296;21931;20365
"1109";8121;5;23792;10950;12842
"1110";8121;6;8144;3052;5092
"1111";8125;1;17716;9222;8494
"1112";8125;2;32444;16616;15828
"1113";8125;3;79932;42067;37865
"1114";8125;4;124376;63395;60981
"1115";8125;5;69677;33617;36060
"1116";8125;6;20311;8077;12234
"1117";8126;1;5549;2788;2761
"1118";8126;2;10503;5450;5053
"1119";8126;3;26881;14383;12498
"1120";8126;4;39646;20298;19348
"1121";8126;5;23070;11228;11842
"1122";8126;6;7006;2725;4281
"1123";8127;1;10166;5234;4932
"1124";8127;2;18774;9511;9263
"1125";8127;3;46773;24866;21907
"1126";8127;4;68881;35241;33640
"1127";8127;5;40455;19509;20946
"1128";8127;6;11712;4359;7353
"1129";8128;1;6103;3162;2941
"1130";8128;2;11595;5924;5671
"1131";8128;3;29027;15494;13533
"1132";8128;4;45649;22939;22710
"1133";8128;5;30494;14808;15686
"1134";8128;6;9531;3665;5866
"1135";8135;1;6351;3165;3186
"1136";8135;2;12434;6361;6073
"1137";8135;3;30265;16174;14091
"1138";8135;4;45560;23111;22449
"1139";8135;5;28360;13513;14847
"1140";8135;6;9807;3765;6042
"1141";8136;1;14941;7600;7341
"1142";8136;2;29105;14944;14161
"1143";8136;3;74238;38890;35348
"1144";8136;4;108937;55243;53694
"1145";8136;5;66302;31889;34413
"1146";8136;6;20502;7898;12604
"1147";8211;1;2327;1215;1112
"1148";8211;2;4336;2315;2021
"1149";8211;3;11349;5918;5431
"1150";8211;4;18959;9200;9759
"1151";8211;5;13312;5965;7347
"1152";8211;6;4902;1909;2993
"1153";8212;1;13501;6826;6675
"1154";8212;2;24051;12507;11544
"1155";8212;3;96210;54181;42029
"1156";8212;4;103188;53129;50059
"1157";8212;5;55986;26045;29941
"1158";8212;6;19124;7199;11925
"1159";8215;1;20805;10600;10205
"1160";8215;2;40718;21053;19665
"1161";8215;3;98037;52212;45825
"1162";8215;4;159688;80249;79439
"1163";8215;5;96324;45973;50351
"1164";8215;6;29529;11598;17931
"1165";8216;1;10771;5568;5203
"1166";8216;2;20526;10574;9952
"1167";8216;3;50351;26386;23965
"1168";8216;4;82392;41490;40902
"1169";8216;5;51304;24689;26615
"1170";8216;6;16076;6234;9842
"1171";8221;1;7651;3931;3720
"1172";8221;2;12234;6209;6025
"1173";8221;3;56430;27108;29322
"1174";8221;4;50483;25219;25264
"1175";8221;5;26094;11976;14118
"1176";8221;6;8593;3195;5398
"1177";8222;1;15008;7713;7295
"1178";8222;2;25378;13211;12167
"1179";8222;3;90495;46870;43625
"1180";8222;4;105056;54148;50908
"1181";8222;5;56575;26152;30423
"1182";8222;6;18146;6913;11233
"1183";8225;1;6590;3429;3161
"1184";8225;2;12650;6478;6172
"1185";8225;3;31813;17321;14492
"1186";8225;4;50278;25351;24927
"1187";8225;5;32605;15821;16784
"1188";8225;6;9697;3786;5911
"1189";8226;1;26484;13642;12842
"1190";8226;2;50723;26223;24500
"1191";8226;3;119416;62081;57335
"1192";8226;4;195186;96702;98484
"1193";8226;5;120243;56718;63525
"1194";8226;6;36303;14349;21954
"1195";8231;1;6919;3420;3499
"1196";8231;2;12063;6196;5867
"1197";8231;3;32774;17241;15533
"1198";8231;4;41226;20937;20289
"1199";8231;5;24351;11056;13295
"1200";8231;6;8624;3148;5476
"1201";8235;1;7685;3999;3686
"1202";8235;2;14880;7789;7091
"1203";8235;3;35780;19037;16743
"1204";8235;4;56031;28360;27671
"1205";8235;5;34153;16526;17627
"1206";8235;6;10672;4139;6533
"1207";8236;1;9770;4946;4824
"1208";8236;2;18333;9490;8843
"1209";8236;3;43796;23067;20729
"1210";8236;4;71053;35621;35432
"1211";8236;5;43119;20674;22445
"1212";8236;6;13485;5274;8211
"1213";8237;1;5616;2830;2786
"1214";8237;2;10972;5659;5313
"1215";8237;3;26952;14397;12555
"1216";8237;4;41606;20944;20662
"1217";8237;5;25137;12243;12894
"1218";8237;6;7960;3009;4951
"1219";8311;1;11580;5955;5625
"1220";8311;2;19423;9838;9585
"1221";8311;3;75858;35858;40000
"1222";8311;4;73364;36396;36968
"1223";8311;5;38754;17799;20955
"1224";8311;6;12216;4487;7729
"1225";8315;1;13023;6736;6287
"1226";8315;2;24980;12803;12177
"1227";8315;3;57703;30239;27464
"1228";8315;4;91353;45074;46279
"1229";8315;5;58575;27805;30770
"1230";8315;6;17967;7297;10670
"1231";8316;1;8237;4186;4051
"1232";8316;2;15671;8078;7593
"1233";8316;3;36337;19107;17230
"1234";8316;4;58890;29234;29656
"1235";8316;5;36529;17457;19072
"1236";8316;6;10744;4182;6562
"1237";8317;1;21255;10806;10449
"1238";8317;2;40539;20740;19799
"1239";8317;3;97963;51656;46307
"1240";8317;4;149809;75773;74036
"1241";8317;5;92015;44435;47580
"1242";8317;6;29372;11410;17962
"1243";8325;1;7017;3626;3391
"1244";8325;2;13275;6865;6410
"1245";8325;3;31767;16694;15073
"1246";8325;4;48487;24659;23828
"1247";8325;5;29790;14407;15383
"1248";8325;6;9542;3753;5789
"1249";8326;1;10360;5208;5152
"1250";8326;2;19360;9906;9454
"1251";8326;3;49100;26002;23098
"1252";8326;4;71187;35884;35303
"1253";8326;5;46648;22217;24431
"1254";8326;6;15851;6177;9674
"1255";8327;1;7415;3716;3699
"1256";8327;2;14224;7285;6939
"1257";8327;3;33792;17982;15810
"1258";8327;4;48292;24789;23503
"1259";8327;5;27908;13414;14494
"1260";8327;6;9135;3661;5474
"1261";8335;1;13609;6972;6637
"1262";8335;2;25450;12898;12552
"1263";8335;3;72567;37188;35379
"1264";8335;4;95970;46890;49080
"1265";8335;5;59233;27807;31426
"1266";8335;6;19476;7582;11894
"1267";8336;1;11417;5827;5590
"1268";8336;2;22176;11344;10832
"1269";8336;3;51034;26405;24629
"1270";8336;4;81260;39869;41391
"1271";8336;5;47707;22710;24997
"1272";8336;6;15142;5892;9250
"1273";8337;1;8373;4323;4050
"1274";8337;2;16859;8624;8235
"1275";8337;3;38092;19942;18150
"1276";8337;4;58853;29412;29441
"1277";8337;5;37318;17921;19397
"1278";8337;6;11508;4606;6902
"1279";8415;1;14389;7412;6977
"1280";8415;2;26908;13815;13093
"1281";8415;3;66385;34795;31590
"1282";8415;4;100381;50376;50005
"1283";8415;5;59367;28186;31181
"1284";8415;6;19604;7697;11907
"1285";8416;1;11517;5947;5570
"1286";8416;2;20500;10432;10068
"1287";8416;3;67359;33015;34344
"1288";8416;4;74689;37162;37527
"1289";8416;5;42186;20204;21982
"1290";8416;6;12427;4744;7683
"1291";8417;1;8629;4347;4282
"1292";8417;2;16886;8648;8238
"1293";8417;3;42280;22447;19833
"1294";8417;4;65775;33175;32600
"1295";8417;5;41760;19975;21785
"1296";8417;6;14033;5329;8704
"1297";8421;1;6143;3171;2972
"1298";8421;2;11233;5730;5503
"1299";8421;3;37545;19617;17928
"1300";8421;4;41501;21150;20351
"1301";8421;5;22949;10401;12548
"1302";8421;6;7419;2844;4575
"1303";8425;1;10187;5214;4973
"1304";8425;2;19357;9908;9449
"1305";8425;3;46286;24614;21672
"1306";8425;4;69568;35613;33955
"1307";8425;5;39521;19336;20185
"1308";8425;6;12157;4795;7362
"1309";8426;1;10918;5571;5347
"1310";8426;2;20194;10359;9835
"1311";8426;3;47873;25201;22672
"1312";8426;4;70915;36185;34730
"1313";8426;5;39644;19486;20158
"1314";8426;6;11738;4588;7150
"1315";8435;1;10308;5273;5035
"1316";8435;2;19600;10008;9592
"1317";8435;3;48384;25211;23173
"1318";8435;4;74946;37357;37589
"1319";8435;5;49071;23120;25951
"1320";8435;6;15161;6283;8878
"1321";8436;1;14387;7381;7006
"1322";8436;2;27005;13932;13073
"1323";8436;3;69383;36460;32923
"1324";8436;4;98817;49628;49189
"1325";8436;5;58282;28007;30275
"1326";8436;6;17550;6926;10624
"1327";8437;1;6302;3195;3107
"1328";8437;2;12245;6311;5934
"1329";8437;3;30631;16397;14234
"1330";8437;4;45382;22888;22494
"1331";8437;5;27726;13465;14261
"1332";8437;6;8563;3317;5246
"1333";9161;1;7348;3738;3610
"1334";9161;2;12189;6350;5839
"1335";9161;3;36946;19894;17052
"1336";9161;4;47433;24497;22936
"1337";9161;5;25341;11849;13492
"1338";9161;6;8135;3143;4992
"1339";9162;1;79289;40323;38966
"1340";9162;2;123455;63153;60302
"1341";9162;3;428500;214001;214499
"1342";9162;4;520908;260534;260374
"1343";9162;5;252625;114931;137694
"1344";9162;6;79449;30721;48728
"1345";9163;1;3173;1683;1490
"1346";9163;2;5529;2790;2739
"1347";9163;3;16846;8837;8009
"1348";9163;4;21721;10985;10736
"1349";9163;5;12485;5679;6806
"1350";9163;6;3797;1383;2414
"1351";9171;1;5560;2817;2743
"1352";9171;2;10171;5214;4957
"1353";9171;3;24674;12989;11685
"1354";9171;4;38826;19765;19061
"1355";9171;5;24596;11534;13062
"1356";9171;6;7689;2886;4803
"1357";9172;1;4870;2522;2348
"1358";9172;2;8863;4574;4289
"1359";9172;3;24213;12791;11422
"1360";9172;4;35989;18029;17960
"1361";9172;5;23999;11167;12832
"1362";9172;6;7995;3070;4925
"1363";9173;1;6413;3299;3114
"1364";9173;2;11873;6200;5673
"1365";9173;3;28089;14631;13458
"1366";9173;4;45644;22666;22978
"1367";9173;5;27330;12936;14394
"1368";9173;6;8568;3432;5136
"1369";9174;1;8110;4094;4016
"1370";9174;2;14813;7657;7156
"1371";9174;3;35923;18835;17088
"1372";9174;4;57706;29166;28540
"1373";9174;5;29629;14312;15317
"1374";9174;6;8718;3460;5258
"1375";9175;1;7339;3752;3587
"1376";9175;2;14993;7762;7231
"1377";9175;3;31943;16851;15092
"1378";9175;4;54073;27167;26906
"1379";9175;5;26881;12823;14058
"1380";9175;6;8420;3451;4969
"1381";9176;1;7521;3779;3742
"1382";9176;2;13271;6837;6434
"1383";9176;3;31932;16844;15088
"1384";9176;4;47849;24711;23138
"1385";9176;5;24991;12423;12568
"1386";9176;6;7317;2924;4393
"1387";9177;1;7095;3668;3427
"1388";9177;2;13322;6886;6436
"1389";9177;3;32571;16929;15642
"1390";9177;4;52900;26936;25964
"1391";9177;5;25339;12418;12921
"1392";9177;6;6955;2792;4163
"1393";9178;1;9347;4825;4522
"1394";9178;2;16896;8730;8166
"1395";9178;3;47364;25233;22131
"1396";9178;4;67183;34880;32303
"1397";9178;5;30829;15069;15760
"1398";9178;6;8388;3370;5018
"1399";9179;1;10914;5593;5321
"1400";9179;2;21333;10937;10396
"1401";9179;3;47747;24821;22926
"1402";9179;4;78793;39361;39432
"1403";9179;5;45874;21106;24768
"1404";9179;6;14650;5984;8666
"1405";9180;1;3944;2038;1906
"1406";9180;2;7216;3738;3478
"1407";9180;3;18951;9964;8987
"1408";9180;4;30268;14757;15511
"1409";9180;5;20791;9555;11236
"1410";9180;6;7254;2864;4390
"1411";9181;1;5814;2954;2860
"1412";9181;2;11596;5888;5708
"1413";9181;3;26575;14245;12330
"1414";9181;4;44110;21954;22156
"1415";9181;5;25061;12120;12941
"1416";9181;6;7146;2905;4241
"1417";9182;1;4678;2394;2284
"1418";9182;2;9053;4693;4360
"1419";9182;3;21101;11045;10056
"1420";9182;4;36111;17768;18343
"1421";9182;5;21994;10250;11744
"1422";9182;6;7073;2849;4224
"1423";9183;1;5732;3008;2724
"1424";9183;2;10807;5656;5151
"1425";9183;3;26957;14382;12575
"1426";9183;4;41159;21239;19920
"1427";9183;5;24455;11840;12615
"1428";9183;6;6762;2593;4169
"1429";9184;1;17221;8791;8430
"1430";9184;2;35989;18473;17516
"1431";9184;3;79064;42341;36723
"1432";9184;4;127041;63487;63554
"1433";9184;5;68324;31738;36586
"1434";9184;6;22834;9606;13228
"1435";9185;1;4953;2492;2461
"1436";9185;2;9360;4777;4583
"1437";9185;3;22414;11795;10619
"1438";9185;4;35147;18054;17093
"1439";9185;5;19834;9659;10175
"1440";9185;6;5595;2154;3441
"1441";9186;1;6798;3526;3272
"1442";9186;2;12140;6192;5948
"1443";9186;3;29980;15914;14066
"1444";9186;4;47303;24492;22811
"1445";9186;5;25051;12227;12824
"1446";9186;6;6955;2816;4139
"1447";9187;1;12589;6517;6072
"1448";9187;2;24148;12454;11694
"1449";9187;3;57885;30517;27368
"1450";9187;4;92745;45960;46785
"1451";9187;5;57382;27319;30063
"1452";9187;6;16581;6632;9949
"1453";9188;1;6275;3215;3060
"1454";9188;2;13824;7044;6780
"1455";9188;3;27433;14263;13170
"1456";9188;4;49023;23694;25329
"1457";9188;5;30237;13898;16339
"1458";9188;6;9875;4151;5724
"1459";9189;1;8217;4214;4003
"1460";9189;2;15656;7931;7725
"1461";9189;3;39329;20713;18616
"1462";9189;4;61317;30658;30659
"1463";9189;5;40204;19011;21193
"1464";9189;6;12596;5087;7509
"1465";9190;1;6632;3387;3245
"1466";9190;2;12806;6548;6258
"1467";9190;3;29502;15518;13984
"1468";9190;4;47671;23634;24037
"1469";9190;5;29794;14398;15396
"1470";9190;6;9073;3757;5316
"1471";9261;1;3437;1722;1715
"1472";9261;2;6190;3160;3030
"1473";9261;3;19121;9955;9166
"1474";9261;4;25371;12850;12521
"1475";9261;5;14495;6492;8003
"1476";9261;6;4797;1773;3024
"1477";9262;1;2079;1040;1039
"1478";9262;2;3668;1835;1833
"1479";9262;3;16576;8487;8089
"1480";9262;4;15973;8075;7898
"1481";9262;5;11052;4940;6112
"1482";9262;6;3455;1236;2219
"1483";9263;1;2064;1047;1017
"1484";9263;2;3780;1980;1800
"1485";9263;3;11769;6389;5380
"1486";9263;4;16686;8731;7955
"1487";9263;5;10358;4840;5518
"1488";9263;6;3134;1101;2033
"1489";9271;1;5244;2675;2569
"1490";9271;2;10191;5211;4980
"1491";9271;3;28269;15053;13216
"1492";9271;4;42402;21481;20921
"1493";9271;5;26176;12561;13615
"1494";9271;6;7196;2669;4527
"1495";9272;1;3304;1651;1653
"1496";9272;2;6259;3266;2993
"1497";9272;3;17095;8922;8173
"1498";9272;4;27856;13997;13859
"1499";9272;5;18861;9408;9453
"1500";9272;6;4987;1819;3168
"1501";9273;1;6197;3207;2990
"1502";9273;2;11776;6054;5722
"1503";9273;3;29164;15575;13589
"1504";9273;4;44539;23022;21517
"1505";9273;5;24528;12014;12514
"1506";9273;6;6854;2640;4214
"1507";9274;1;8154;4158;3996
"1508";9274;2;15490;8003;7487
"1509";9274;3;35928;19000;16928
"1510";9274;4;59287;30342;28945
"1511";9274;5;32478;16048;16430
"1512";9274;6;8558;3362;5196
"1513";9275;1;8294;4252;4042
"1514";9275;2;16612;8541;8071
"1515";9275;3;41791;21871;19920
"1516";9275;4;68286;34559;33727
"1517";9275;5;45211;21847;23364
"1518";9275;6;12462;4657;7805
"1519";9276;1;3418;1754;1664
"1520";9276;2;6355;3341;3014
"1521";9276;3;17033;9060;7973
"1522";9276;4;26975;13580;13395
"1523";9276;5;18463;9039;9424
"1524";9276;6;5166;1845;3321
"1525";9277;1;5532;2913;2619
"1526";9277;2;10651;5440;5211
"1527";9277;3;27751;14722;13029
"1528";9277;4;42573;21718;20855
"1529";9277;5;26893;13018;13875
"1530";9277;6;8102;3109;4993
"1531";9278;1;4891;2509;2382
"1532";9278;2;9372;4761;4611
"1533";9278;3;22496;11885;10611
"1534";9278;4;37010;18855;18155
"1535";9278;5;21556;10616;10940
"1536";9278;6;5795;2137;3658
"1537";9279;1;4674;2399;2275
"1538";9279;2;8563;4428;4135
"1539";9279;3;22972;12466;10506
"1540";9279;4;34918;18220;16698
"1541";9279;5;19990;9891;10099
"1542";9279;6;5566;2176;3390
"1543";9361;1;1822;907;915
"1544";9361;2;3428;1790;1638
"1545";9361;3;9884;5342;4542
"1546";9361;4;14121;7182;6939
"1547";9361;5;9590;4420;5170
"1548";9361;6;3362;1175;2187
"1549";9362;1;7114;3656;3458
"1550";9362;2;11854;6049;5805
"1551";9362;3;49733;24854;24879
"1552";9362;4;49991;24982;25009
"1553";9362;5;25967;11755;14212
"1554";9362;6;8435;3020;5415
"1555";9363;1;1904;970;934
"1556";9363;2;3386;1719;1667
"1557";9363;3;10266;5411;4855
"1558";9363;4;14377;7046;7331
"1559";9363;5;9556;4333;5223
"1560";9363;6;3254;1173;2081
"1561";9371;1;4804;2439;2365
"1562";9371;2;8669;4463;4206
"1563";9371;3;22657;11973;10684
"1564";9371;4;36846;18712;18134
"1565";9371;5;23023;11331;11692
"1566";9371;6;7050;2716;4334
"1567";9372;1;5736;2951;2785
"1568";9372;2;10953;5582;5371
"1569";9372;3;28535;15016;13519
"1570";9372;4;45439;23234;22205
"1571";9372;5;29005;14388;14617
"1572";9372;6;8330;3118;5212
"1573";9373;1;6682;3463;3219
"1574";9373;2;12356;6332;6024
"1575";9373;3;31174;16550;14624
"1576";9373;4;48885;25141;23744
"1577";9373;5;27625;13630;13995
"1578";9373;6;7851;2942;4909
"1579";9374;1;4536;2296;2240
"1580";9374;2;7981;4121;3860
"1581";9374;3;20719;10785;9934
"1582";9374;4;33928;17111;16817
"1583";9374;5;21159;10445;10714
"1584";9374;6;6127;2303;3824
"1585";9375;1;9600;4848;4752
"1586";9375;2;18268;9479;8789
"1587";9375;3;42447;22301;20146
"1588";9375;4;71700;36169;35531
"1589";9375;5;41339;20180;21159
"1590";9375;6;10716;4208;6508
"1591";9376;1;6864;3561;3303
"1592";9376;2;12736;6476;6260
"1593";9376;3;33731;17897;15834
"1594";9376;4;53297;27340;25957
"1595";9376;5;31793;15591;16202
"1596";9376;6;9451;3450;6001
"1597";9377;1;3086;1577;1509
"1598";9377;2;5929;3012;2917
"1599";9377;3;15396;8187;7209
"1600";9377;4;25395;12895;12500
"1601";9377;5;17007;8290;8717
"1602";9377;6;5233;1930;3303
